account_id,created_at,seat_role,is_workspace_owner,signup_source,country,created_by_admin,email_domain,plan,mrr
acc_050750ff3625,2026-07-08T10:51:07Z,agent,false,(direct),IE,false,outlook.com,free,0
acc_f573e6944510,2026-07-30T10:36:33Z,admin,false,(organic),US,false,gmail.com,free,0
acc_aa50a76ab52c,2026-05-10T23:41:38Z,agent,false,(organic),IE,false,orbittech.co,free,0
acc_592116af090a,2026-06-22T12:47:22Z,agent,false,(organic),IN,false,icloud.com,free,0
acc_6426091608ab,2026-02-28T08:23:26Z,agent,false,partner-directory,US,false,outlook.com,free,0
acc_bb2481df9884,2026-05-25T21:00:04Z,agent,false,docs,DE,false,forgepartners.de,free,0
acc_0a3e2cd36763,2026-03-25T16:37:31Z,agent,false,(direct),SE,false,northtech.nl,free,0
acc_ec3387542858,2026-06-20T12:31:16Z,owner,true,docs,NL,false,lumenworks.co,free,0
acc_66306c778001,2026-07-31T20:21:34Z,agent,false,(organic),IN,false,hotmail.com,free,0
acc_90ad35091548,2026-04-09T19:54:36Z,agent,false,docs,IE,false,harborapp.de,free,0
acc_c1214560d4dd,2026-04-13T13:09:40Z,admin,false,(direct),GB,false,basilhq.ai,free,0
acc_5686213c369c,2026-06-19T17:40:22Z,agent,false,(organic),DE,false,marlowio.de,free,0
acc_b222e77fdadb,2026-04-25T14:16:01Z,owner,true,docs,FR,false,summit-io.com,free,0
acc_beafb638db8e,2026-05-20T10:35:49Z,agent,false,(organic),CA,false,harbor-studio.com,free,0
acc_d64daf9e5248,2026-07-03T11:01:00Z,agent,false,q3-search,NL,false,basillabs.nl,free,0
acc_caf805829fb9,2026-07-19T21:31:16Z,admin,false,(organic),SG,false,basilsolutions.co,free,0
acc_dd5471deeb07,2026-07-05T17:27:18Z,agent,false,q3-search,US,false,northstudio.com,free,0
acc_afa68376b595,2026-04-10T12:44:18Z,agent,false,docs,IN,false,nimbus-io.com,free,0
acc_436f1e96ef48,2026-07-31T15:32:47Z,agent,false,(direct),GB,false,junolabs.ai,free,0
acc_c609c2d5fbb6,2026-05-07T18:51:28Z,agent,false,partner-directory,DE,false,juno-solutions.net,free,0
acc_71e134d1c02c,2026-02-09T20:47:29Z,agent,false,q3-search,US,false,proton.me,free,0
acc_95ec8166bfac,2026-05-02T09:48:30Z,agent,false,q3-search,IE,false,glidesystems.ai,free,0
acc_96ae542c5dd2,2026-02-13T16:27:37Z,agent,false,(organic),CA,false,solacesolutions.co,free,0
acc_ce609c93ce90,2026-06-04T15:51:16Z,admin,false,q3-search,GB,false,hotmail.com,free,0
acc_8aef3b029f96,2026-05-09T22:24:19Z,admin,false,docs,CA,false,junoworks.io,free,0
acc_e3132a2a5802,2026-04-18T15:00:54Z,owner,true,(organic),AU,false,orbit-digital.com,team,149
acc_88832a924b8a,2026-02-04T10:02:42Z,agent,false,(organic),GB,false,copperworks.de,free,0
acc_31daecc51fa4,2026-07-09T04:47:48Z,admin,false,(organic),CA,false,harbor-solutions.ai,free,0
acc_6458c438bfdd,2026-06-15T14:34:06Z,agent,false,docs,US,false,basilstudio.io,free,0
acc_15c90c52b237,2026-06-06T09:58:31Z,agent,false,(organic),AU,false,ridge-co.net,free,0
acc_f02db63dda2a,2026-06-11T09:07:33Z,admin,false,q3-search,US,false,vertexio.co.uk,free,0
acc_98ee0a2d406e,2026-05-08T08:04:46Z,owner,true,docs,US,false,harbor-works.io,free,0
acc_3292e5041bc3,2026-06-09T19:46:05Z,admin,false,(organic),US,false,orbitio.net,free,0
acc_509baf631881,2026-07-17T09:58:28Z,agent,false,(direct),SE,false,marlowlabs.nl,free,0
acc_1d3a7477febd,2026-05-21T21:42:59Z,agent,false,q3-search,US,false,summithq.com,free,0
acc_935459e32026,2026-03-30T12:22:48Z,owner,true,(direct),FR,false,hotmail.com,team,149
acc_0022fbb424b5,2026-06-02T06:40:01Z,agent,false,q3-search,US,false,pilot-works.co.uk,free,0
acc_5b475cf11dab,2026-03-09T17:26:04Z,admin,false,partner-directory,NL,false,meridianpartners.ai,free,0
acc_189b1a555a17,2026-06-25T16:02:39Z,agent,false,q3-search,DE,false,icloud.com,free,0
acc_8e679f71721b,2026-05-26T16:56:17Z,agent,false,q3-search,CA,false,proton.me,free,0
acc_7f4627ab3d1f,2026-07-16T09:35:06Z,admin,false,(direct),US,false,cedarsolutions.de,free,0
acc_f64505eaccbb,2026-07-08T09:06:52Z,owner,true,q3-search,IN,false,tandem-partners.net,free,0
acc_a5d5fbe3b044,2026-07-18T22:38:25Z,agent,false,(organic),PL,false,gmail.com,free,0
acc_e4b0da61d409,2026-07-07T15:56:12Z,agent,false,(organic),CA,false,cedar-studio.ai,free,0
acc_8cb042bdab4b,2026-05-13T10:57:34Z,admin,false,q3-search,IN,false,yahoo.com,free,0
acc_1c5abd646add,2026-03-02T18:29:36Z,owner,true,(organic),DE,false,yahoo.com,free,0
acc_ed9f1bee508c,2026-03-19T10:07:23Z,agent,false,(organic),SG,false,tempo-co.ai,free,0
acc_ade5a6b37029,2026-04-07T13:05:04Z,agent,false,q3-search,IN,false,alpine-labs.nl,free,0
acc_2f31c68f6896,2026-07-23T15:23:41Z,admin,false,docs,US,false,hotmail.com,free,0
acc_d3953c9f9ffc,2026-07-12T17:05:26Z,agent,false,(organic),PL,false,marlow-works.co,free,0
acc_ff3395b120b7,2026-03-20T19:18:22Z,agent,false,(organic),GB,false,glide-hq.com,free,0
acc_b393c6e327b3,2026-07-27T08:19:46Z,owner,true,partner-directory,US,false,tandemco.io,free,0
acc_dd9f89e1629c,2026-07-07T15:59:37Z,admin,false,q3-search,US,false,proton.me,free,0
acc_80a6005f8e7c,2026-07-11T15:26:06Z,agent,false,q3-search,DE,false,proton.me,free,0
acc_ce46c443d084,2026-06-10T13:45:41Z,admin,false,partner-directory,DE,false,hotmail.com,free,0
acc_a36bd9bdb659,2026-06-13T09:17:54Z,agent,false,(organic),US,false,cedar-software.com,free,0
acc_a25c51cfaf39,2026-07-07T13:37:44Z,agent,false,(organic),CA,false,pilotcloud.de,free,0
acc_601a303bf5ba,2026-07-23T12:41:49Z,owner,true,docs,FR,false,quilldigital.com,free,0
acc_7b32cb83e307,2026-06-10T09:24:55Z,admin,false,q3-search,FR,false,solaceworks.nl,free,0
acc_798f8187058a,2026-04-09T15:38:01Z,agent,false,partner-directory,GB,false,veranosystems.com,free,0
acc_6195ecb32652,2026-02-21T09:18:16Z,admin,false,(organic),GB,false,proton.me,free,0
acc_f8868170809f,2026-02-15T16:14:05Z,agent,false,(organic),US,false,yahoo.com,free,0
acc_e210caadd097,2026-06-27T18:41:22Z,agent,false,docs,SE,false,yahoo.com,free,0
acc_5d5490b58265,2026-02-24T13:01:14Z,owner,true,(direct),US,false,junocloud.nl,free,0
acc_85d8ff84fdf6,2026-05-19T01:33:50Z,owner,true,q3-search,FR,false,vertex-labs.de,free,0
acc_14a4bcc8ed2e,2026-03-07T19:13:53Z,agent,false,partner-directory,CA,false,icloud.com,free,0
acc_69dea66965fd,2026-07-21T09:49:12Z,admin,false,q3-search,US,false,outlook.com,free,0
acc_99c11d191582,2026-03-26T15:54:49Z,agent,false,(organic),SE,false,proton.me,free,0
acc_552dc03f8828,2026-04-18T13:21:39Z,owner,true,partner-directory,US,false,tandemworks.ai,business,399
acc_85ea501d3a34,2026-03-07T10:39:24Z,owner,true,(organic),US,false,junoio.com,free,0
acc_e2638f3b5f35,2026-05-01T23:13:44Z,agent,false,(organic),FR,false,alpinelabs.co,free,0
acc_01d7695a7e8e,2026-02-11T15:12:13Z,agent,false,q3-search,US,false,stackhq.com,free,0
acc_51847b963225,2026-07-23T00:43:44Z,agent,false,(direct),FR,false,proton.me,free,0
acc_fa48f5e7c7b5,2026-02-10T14:07:02Z,owner,true,q3-search,PL,false,icloud.com,free,0
acc_6aa8dec44dc1,2026-06-19T09:41:22Z,agent,false,(direct),GB,false,piercloud.nl,free,0
acc_054a61f87108,2026-05-16T22:43:14Z,agent,false,q3-search,NL,false,proton.me,free,0
acc_93be94b16e22,2026-06-06T15:46:34Z,admin,false,partner-directory,GB,false,yahoo.com,free,0
acc_8af53ef007a8,2026-04-30T22:51:11Z,owner,true,(organic),AU,false,proton.me,free,0
acc_8502703be476,2026-05-30T10:54:17Z,agent,false,q3-search,IN,false,pilot-group.co,free,0
acc_81b54d14ff6a,2026-03-09T15:36:53Z,agent,false,docs,NL,false,gmail.com,free,0
acc_3c674445b02c,2026-04-07T19:55:46Z,agent,false,partner-directory,IN,false,meridiantech.com,free,0
acc_87b9e4a0f41b,2026-04-11T13:21:18Z,admin,false,docs,DE,false,outlook.com,free,0
acc_a15d0853d7fe,2026-07-08T20:28:05Z,agent,false,(organic),GB,false,northhq.co,free,0
acc_e80065962de6,2026-05-21T15:14:10Z,agent,false,(direct),FR,false,yahoo.com,free,0
acc_0e36233fa6a3,2026-04-25T14:26:25Z,admin,false,(organic),SE,false,stack-group.io,free,0
acc_18dd016d7c1c,2026-03-28T07:53:41Z,admin,false,partner-directory,US,false,atlassystems.net,free,0
acc_d30a095195ca,2026-07-05T17:25:42Z,agent,false,q3-search,US,false,alpinepartners.de,free,0
acc_2cb4eae0d7e9,2026-04-12T13:03:18Z,agent,false,(organic),GB,false,proton.me,free,0
acc_1ae8dfdacbdf,2026-02-16T16:39:47Z,admin,false,docs,DE,false,verano-solutions.com,free,0
acc_ea4a6e3ad1a9,2026-06-23T01:48:57Z,agent,false,(organic),IN,false,atlastech.de,free,0
acc_6dd25ff6ee3e,2026-07-22T18:13:31Z,agent,false,(organic),US,false,harborgroup.co.uk,free,0
acc_4ad20d08c41b,2026-06-08T23:48:25Z,owner,true,(direct),CA,false,vertex-systems.co.uk,free,0
acc_07ac87367ed3,2026-06-07T14:49:44Z,agent,false,q3-search,FR,false,vertex-systems.co.uk,free,0
acc_5c1f1e8ed1ec,2026-07-09T01:53:18Z,admin,false,(organic),GB,false,basilhq.co,free,0
acc_0a0b4ee95032,2026-02-20T10:07:58Z,agent,false,docs,NL,false,yahoo.com,free,0
acc_7d6b61dd5302,2026-05-08T16:28:32Z,admin,false,docs,AU,false,hotmail.com,free,0
acc_f5265db6a111,2026-03-09T19:20:19Z,agent,false,(direct),BR,false,proton.me,free,0
acc_f6ffcfa4f601,2026-05-25T12:02:47Z,owner,true,(direct),CA,false,icloud.com,free,0
acc_253bc2159005,2026-07-19T17:10:52Z,admin,false,(organic),CA,false,basilhq.ai,free,0
acc_5a329e751e94,2026-06-19T15:37:18Z,owner,true,docs,PL,false,cedarsystems.com,free,0
acc_8458117c3f38,2026-06-19T10:45:43Z,agent,false,(organic),FR,false,tempoworks.com,free,0
acc_ff28280f5112,2026-06-08T09:23:40Z,agent,false,(organic),NL,false,pier-studio.co.uk,free,0
acc_951e60d5b7f0,2026-06-16T19:21:45Z,agent,false,(organic),DE,false,ridge-studio.io,free,0
acc_b6b09a65f37b,2026-02-16T19:53:49Z,agent,false,(organic),GB,false,ridgesolutions.com,free,0
acc_7602d4ed9afc,2026-05-12T10:46:54Z,owner,true,docs,SG,false,atlas-group.co.uk,free,0
acc_4db700cdffab,2026-03-07T18:00:11Z,agent,false,(organic),BR,false,yahoo.com,free,0
acc_7e0e9ae9620f,2026-05-22T17:59:39Z,agent,false,q3-search,GB,false,verano-app.net,free,0
acc_b6df5618bfa0,2026-04-07T07:48:51Z,admin,false,(organic),US,false,piergroup.io,free,0
acc_71a6f4f1e64d,2026-07-28T10:51:12Z,agent,false,(direct),PL,false,lumenstudio.net,free,0
acc_8bae4cd6bb24,2026-03-07T14:09:28Z,admin,false,(direct),US,false,basillabs.nl,free,0
acc_75054e7b434f,2026-05-29T16:52:48Z,agent,false,(organic),IN,false,nimbustech.io,free,0
acc_908504b5bc48,2026-06-16T19:15:24Z,agent,false,(organic),IN,false,yahoo.com,free,0
acc_0bc4cdd247ab,2026-04-18T14:17:57Z,admin,false,docs,PL,false,icloud.com,free,0
acc_94ece7ec687b,2026-06-30T17:45:44Z,owner,true,(direct),US,false,cedarsoftware.com,free,0
acc_2708bb53ec7c,2026-07-10T13:18:34Z,owner,true,(direct),US,false,outlook.com,starter,49
acc_38629b3524a9,2026-07-21T16:57:28Z,admin,false,q3-search,ES,false,forgeio.com,free,0
acc_d719bd8ea2e2,2026-02-25T21:40:27Z,owner,true,(direct),US,false,proton.me,free,0
acc_b8f832cc9ebf,2026-02-14T10:34:13Z,agent,false,(organic),CA,false,latticesystems.com,free,0
acc_4daf0546a294,2026-07-12T17:49:04Z,admin,false,q3-search,ES,false,north-studio.co,free,0
acc_b1be82be700c,2026-06-26T16:39:38Z,agent,false,q3-search,US,false,outlook.com,free,0
acc_ab1aa29715d0,2026-06-21T17:13:21Z,agent,false,(organic),NL,false,kestrel-partners.co.uk,free,0
acc_8b869059cd3a,2026-05-18T07:22:30Z,owner,true,(direct),IN,false,atlasstudio.co,free,0
acc_ea4c5c2a70ec,2026-07-15T14:07:57Z,agent,false,(organic),GB,false,proton.me,free,0
acc_78915829bb5a,2026-06-18T07:01:48Z,owner,true,q3-search,BR,false,orbitgroup.com,free,0
acc_9ed1cdd544d2,2026-06-10T21:47:44Z,admin,false,partner-directory,US,false,cedarhq.net,free,0
acc_6c27c62d2a32,2026-02-23T14:09:40Z,admin,false,partner-directory,NL,false,outlook.com,free,0
acc_5c3b6fdb7ca4,2026-02-11T22:15:33Z,agent,false,q3-search,IN,false,gmail.com,free,0
acc_e4c7c568b267,2026-03-07T15:20:20Z,admin,false,q3-search,AU,false,tempo-studio.com,free,0
acc_a73c9910485f,2026-05-14T02:26:57Z,owner,true,partner-directory,GB,false,ridgetech.co.uk,free,0
acc_5ad6dbd04614,2026-04-11T06:04:46Z,agent,false,q3-search,IN,false,hotmail.com,free,0
acc_7c63bc6d8817,2026-06-20T17:21:18Z,agent,false,(organic),DE,false,basil-partners.net,free,0
acc_454a807cba97,2026-03-21T19:03:07Z,agent,false,(direct),US,false,cedarapp.com,free,0
acc_bb0c5e2c6692,2026-07-26T18:58:53Z,owner,true,partner-directory,ES,false,forgeio.net,free,0
acc_f58d2a6586c2,2026-04-28T07:41:41Z,owner,true,partner-directory,ES,false,yahoo.com,free,0
acc_959c98ffc422,2026-05-15T14:26:13Z,agent,false,(organic),CA,false,yahoo.com,free,0
acc_1e9226ec8bef,2026-02-23T00:52:09Z,owner,true,partner-directory,US,false,tempo-labs.co.uk,free,0
acc_0b7f5aa36bae,2026-03-17T18:12:18Z,agent,false,(organic),CA,false,gmail.com,free,0
acc_9f1bac11601d,2026-03-21T14:56:29Z,owner,true,(direct),IN,false,nimbus-digital.com,free,0
acc_d1cd46b4e915,2026-06-27T20:53:49Z,agent,false,(direct),PL,false,harborgroup.co.uk,free,0
acc_8a404224584e,2026-02-10T14:04:27Z,owner,true,(organic),GB,false,outlook.com,starter,49
acc_90c466bc65e8,2026-05-17T17:23:20Z,owner,true,docs,US,false,glidegroup.nl,free,0
acc_09d7c3e9492a,2026-07-25T16:05:44Z,owner,true,(organic),AU,false,forge-cloud.com,free,0
acc_871b9dcab3c7,2026-02-20T10:39:12Z,owner,true,(organic),SG,false,ridge-group.com,free,0
acc_d27442de202e,2026-05-05T23:44:24Z,owner,true,docs,IN,false,basil-labs.ai,free,0
acc_45509c72f6d2,2026-05-14T11:21:39Z,owner,true,(direct),NL,false,harbor-hq.com,free,0
acc_ec49d887b3a5,2026-05-12T17:41:26Z,agent,false,(direct),US,false,quill-app.com,free,0
acc_84cf019479fd,2026-05-08T17:38:49Z,agent,false,docs,IN,false,kestrel-app.com,free,0
acc_30dcb8bec162,2026-06-05T15:33:02Z,agent,false,(organic),BR,false,lumen-software.ai,free,0
acc_059571cd54b3,2026-03-08T23:51:04Z,admin,false,partner-directory,US,false,vertex-works.com,free,0
acc_2cc028860cbd,2026-02-13T08:37:43Z,owner,true,partner-directory,NL,false,orbit-tech.net,free,0
acc_5f657a1abfe6,2026-06-15T05:06:48Z,agent,false,(organic),SE,false,hotmail.com,free,0
acc_27f5430a0849,2026-04-13T11:23:11Z,agent,false,q3-search,BR,false,pier-group.net,free,0
acc_9c55e12d195b,2026-07-22T10:50:24Z,admin,false,partner-directory,GB,false,latticesolutions.net,free,0
acc_9a93e7b97fb0,2026-07-05T19:53:15Z,owner,true,(organic),US,false,hotmail.com,free,0
acc_8e59fed9f120,2026-06-21T20:18:33Z,owner,true,(organic),US,false,marlow-app.com,free,0
acc_e6454540da1e,2026-02-19T15:28:15Z,owner,true,q3-search,CA,false,copper-systems.io,free,0
acc_43c8387c7485,2026-03-11T08:55:48Z,owner,true,q3-search,ES,false,forge-software.com,starter,49
acc_d408059e6c1c,2026-05-25T13:50:56Z,agent,false,partner-directory,GB,false,copper-studio.io,free,0
acc_55c850672c92,2026-03-02T10:57:03Z,agent,false,q3-search,BR,false,gmail.com,free,0
acc_a0e04aeb3201,2026-07-28T13:30:42Z,agent,false,(organic),PL,false,stack-solutions.de,free,0
acc_50a4885102f6,2026-05-03T18:55:55Z,admin,false,(organic),SE,false,harbortech.de,free,0
acc_cbe5bdbf282c,2026-05-01T08:48:26Z,owner,true,partner-directory,PL,false,pilot-cloud.de,free,0
acc_000499b1924c,2026-07-03T09:05:03Z,admin,false,partner-directory,ES,false,forge-cloud.com,free,0
acc_dc13177c3163,2026-06-23T20:50:00Z,agent,false,q3-search,NL,false,yahoo.com,free,0
acc_a93a73be64d3,2026-04-21T16:22:37Z,admin,false,(organic),GB,false,northstudio.co.uk,free,0
acc_a87b3e616053,2026-06-15T19:55:49Z,agent,false,partner-directory,US,false,icloud.com,free,0
acc_61860209064e,2026-07-07T18:00:16Z,agent,false,(organic),CA,false,pilotdigital.com,free,0
acc_5f9c1a7c83a6,2026-02-23T12:18:11Z,agent,false,(organic),GB,false,ridgesoftware.com,free,0
acc_1a2e60e07d12,2026-07-14T11:53:17Z,agent,false,docs,ES,false,gmail.com,free,0
acc_8e1df0ab8e99,2026-04-25T15:47:59Z,owner,true,(organic),DE,false,copper-works.nl,starter,49
acc_8bce5f2085c6,2026-07-30T21:35:24Z,admin,false,partner-directory,IN,false,gmail.com,free,0
acc_0d06682f0662,2026-02-18T08:40:28Z,agent,false,(organic),US,false,glidestudio.de,free,0
acc_235befeaee80,2026-04-14T15:02:33Z,owner,true,(direct),DE,false,forge-works.com,starter,49
acc_a4d223484961,2026-05-21T12:00:14Z,agent,false,(direct),US,false,outlook.com,free,0
acc_abbc327341d7,2026-05-29T15:18:18Z,admin,false,(direct),US,false,meridiantech.com,free,0
acc_de1b5256550f,2026-06-26T16:32:19Z,admin,false,docs,PL,false,cedarlabs.ai,free,0
acc_c8b9fb4a618a,2026-04-15T19:44:06Z,agent,false,(organic),CA,false,outlook.com,free,0
acc_bb1d680f2d58,2026-07-26T15:56:22Z,owner,true,q3-search,AU,false,icloud.com,free,0
acc_91d578501856,2026-06-21T09:58:19Z,owner,true,(direct),DE,false,nimbus-labs.com,starter,49
acc_2a809839e179,2026-04-18T21:10:01Z,admin,false,(organic),GB,false,tandem-io.nl,free,0
acc_4d898db8afd3,2026-03-16T13:54:35Z,agent,false,partner-directory,IE,false,gmail.com,free,0
acc_616f1ebcb0a4,2026-07-11T05:36:29Z,agent,false,q3-search,US,false,tempodigital.nl,free,0
acc_94818dd401dc,2026-06-15T17:15:35Z,agent,false,q3-search,FR,false,solace-io.co.uk,free,0
acc_3f4884f42667,2026-05-17T14:49:11Z,owner,true,partner-directory,SE,false,stackio.io,starter,49
acc_f572cd7cd3dc,2026-06-29T11:42:13Z,admin,false,(organic),NL,false,proton.me,free,0
acc_e0ec097547e3,2026-07-27T13:17:22Z,agent,false,partner-directory,US,false,orbitgroup.com,free,0
acc_840b57628006,2026-05-16T07:40:46Z,agent,false,(organic),BR,false,orbitsolutions.nl,free,0
acc_96bcf23377d3,2026-07-15T16:30:39Z,agent,false,q3-search,DE,false,yahoo.com,free,0
acc_3061558b68f3,2026-07-31T18:17:09Z,owner,true,(organic),GB,false,coppertech.co.uk,free,0
acc_8b9d1cc40457,2026-03-02T09:29:40Z,agent,false,q3-search,DE,false,junodigital.com,free,0
acc_311571293141,2026-04-20T08:12:04Z,owner,true,docs,AU,false,forgeio.io,free,0
acc_e58bfe3054a9,2026-03-01T17:49:46Z,owner,true,(direct),NL,false,stackdigital.com,free,0
acc_4f9996e11f70,2026-06-17T14:55:05Z,owner,true,(direct),US,false,proton.me,free,0
acc_bc7f215c8de4,2026-05-13T06:53:54Z,agent,false,(direct),ES,false,icloud.com,free,0
acc_04e77a5a3f3a,2026-06-30T16:24:37Z,agent,false,(organic),US,false,marlowio.de,free,0
acc_7685bbae32a4,2026-05-10T19:48:54Z,owner,true,docs,DE,false,orbit-digital.co,business,399
acc_85ea870c01ba,2026-06-29T17:26:33Z,agent,false,(organic),US,false,harborsolutions.com,free,0
acc_e2752fc07b67,2026-04-15T17:30:09Z,admin,false,(organic),US,false,icloud.com,free,0
acc_ac1c3394d93c,2026-04-08T16:49:19Z,admin,false,(organic),FR,false,yahoo.com,free,0
acc_2a4071975fa0,2026-02-18T11:40:49Z,agent,false,(organic),SG,false,hotmail.com,free,0
acc_909b7de3ca46,2026-05-23T19:06:37Z,agent,false,(direct),PL,false,copper-works.com,free,0
acc_2b902db53e0b,2026-03-09T15:36:23Z,owner,true,docs,GB,false,gmail.com,free,0
acc_d641d259ee48,2026-02-01T11:52:11Z,agent,false,q3-search,SE,false,atlascloud.ai,free,0
acc_98b8f9e3f212,2026-04-19T14:41:45Z,agent,false,q3-search,FR,false,tempo-digital.com,free,0
acc_a257c5380b72,2026-04-12T14:55:17Z,owner,true,(organic),SE,false,glide-co.com,business,399
acc_cbf786d91705,2026-04-17T10:50:22Z,agent,false,(direct),US,false,yahoo.com,free,0
acc_f2d7bfab67c3,2026-04-06T15:22:28Z,owner,true,q3-search,AU,false,gmail.com,free,0
acc_0f02821b38be,2026-02-04T08:30:57Z,admin,false,partner-directory,FR,false,forgelabs.nl,free,0
